Date,AQI Category,PM2.5
4/1/17,Good,2
4/2/17,Good,3.4
4/3/17,Moderate,8.1
4/4/17,Moderate,8.3
4/5/17,Moderate,13.1
4/6/17,Good,4.5
4/7/17,Good,1.6
4/8/17,Good,2
4/9/17,Good,4.6
4/10/17,Moderate,9.1
4/11/17,Moderate,13.2
4/12/17,Moderate,12.8
4/13/17,Good,3.8
4/14/17,Good,5.4
4/15/17,Good,7.3
4/16/17,Moderate,9.3
4/17/17,Good,4.5
4/18/17,Good,3.7
4/19/17,Good,4.7
4/20/17,Moderate,11.5
4/21/17,Moderate,7.9
4/22/17,Good,3.8
4/23/17,Good,3.8
4/24/17,Good,7
4/25/17,Good,3.8
4/26/17,Good,7.3
4/27/17,Moderate,7.3
4/28/17,Moderate,12.3
4/29/17,Good,9.3
4/30/17,Good,4.8
5/1/17,Moderate,8.3
5/2/17,Good,8.3
5/3/17,Good,3.3
5/4/17,Good,4.4
5/5/17,Good,6.1
5/6/17,Good,6.4
5/7/17,Good,2.3
5/8/17,Good,4.1
5/9/17,Good,5.4
5/10/17,Moderate,7.1
5/11/17,Moderate,5.6
5/12/17,Good,4.7
5/13/17,Good,2.9
5/14/17,Good,4.1
5/15/17,Good,3.8
5/16/17,Good,7
5/17/17,Moderate,14.3
5/18/17,Moderate,17.2
5/19/17,Moderate,12.4
5/20/17,Good,6.1
5/21/17,Good,5.2
5/22/17,Good,5.4
5/23/17,Moderate,7.6
5/24/17,Good,7.1
5/25/17,Good,4.3
5/26/17,Good,2.7
5/27/17,Good,5
5/28/17,Good,6.3
5/29/17,Good,4.5
5/30/17,Good,4.3
5/31/17,Good,7.9
6/1/17,Moderate,7
6/2/17,Good,7.2
6/3/17,Moderate,5.2
6/4/17,Good,7
6/5/17,Moderate,15.4
6/6/17,Good,3.2
6/7/17,Good,5.5
6/8/17,Moderate,6.7
6/9/17,Moderate,7.9
6/10/17,Moderate,10.9
6/11/17,Moderate,12.4
6/12/17,Moderate,16.8
6/13/17,Moderate,16.6
6/14/17,Moderate,10.7
6/15/17,Good,6
6/16/17,Moderate,8
6/17/17,Moderate,8.2
6/18/17,Moderate,11.1
6/19/17,Good,8.1
6/20/17,Moderate,7.1
6/21/17,Moderate,9.4
6/22/17,Moderate,11.2
6/23/17,Moderate,14
6/24/17,Good,5.4
6/25/17,Good,7.2
6/26/17,Good,10.1
6/27/17,Moderate,7.2
6/28/17,Moderate,7.4
6/29/17,Good,11.5
6/30/17,Moderate,16.6
7/1/17,Good,11.1
7/2/17,Moderate,7.6
7/3/17,Moderate,10.6
7/4/17,Moderate,10.6
7/5/17,Moderate,14.2
7/6/17,Moderate,7.3
7/7/17,Good,7.3
7/8/17,Moderate,7.3
7/9/17,Good,6.5
7/10/17,Moderate,9.7
7/11/17,Moderate,10.4
7/12/17,Moderate,13.6
7/13/17,Moderate,15.1
7/14/17,Good,6.3
7/15/17,Good,5.5
7/16/17,Good,6.7
7/17/17,Moderate,9.1
7/18/17,Good,5.6
7/19/17,Moderate,12.2
7/20/17,Moderate,16.5
7/21/17,Moderate,9.2
7/22/17,Moderate,9.2
7/23/17,Moderate,14
7/24/17,Good,7.1
7/25/17,Good,5
7/26/17,Good,4.9
7/27/17,Good,7
7/28/17,Moderate,12.4
7/29/17,Moderate,5
7/30/17,Good,5.6
7/31/17,Moderate,16.9
8/1/17,Moderate,14.5
8/2/17,Moderate,14.5
8/3/17,Moderate,10.3
8/4/17,Moderate,5.8
8/5/17,Good,4.4
8/6/17,Moderate,4.6
8/7/17,Good,8
8/8/17,Good,6.6
8/9/17,Moderate,10.3
8/10/17,Moderate,12.9
8/11/17,Good,5.4
8/12/17,Good,5.4
8/13/17,Moderate,6.4
8/14/17,Moderate,9.4
8/15/17,Moderate,10.9
8/16/17,Moderate,9.5
8/17/17,Moderate,9.2
8/18/17,Moderate,8.7
8/19/17,Good,7.4
8/20/17,Good,7.4
8/21/17,Moderate,13.7
8/22/17,Moderate,14.7
8/23/17,Good,14.7
8/24/17,Good,14.7
8/25/17,Good,5.2
8/26/17,Moderate,6.3
8/27/17,Moderate,9.2
8/28/17,Moderate,7.2
8/29/17,Good,4.5
8/30/17,Moderate,7.4
8/31/17,Moderate,10.2
9/1/17,Good,3.6
9/2/17,Good,4.4
9/3/17,Good,3.8
9/4/17,Moderate,10.5
9/5/17,Moderate,15.5
9/6/17,Moderate,14
9/7/17,Moderate,7.6
9/8/17,Good,4.3
9/9/17,Good,2.7
9/10/17,Good,4.3
9/11/17,Good,7
9/12/17,Good,9.2
9/13/17,Moderate,10.2
9/14/17,Moderate,9.5
9/15/17,Moderate,10.9
9/16/17,Moderate,16.4
9/17/17,Moderate,12.8
9/18/17,Good,6.7
9/19/17,Moderate,9.3
9/20/17,Good,5.1
9/21/17,Good,9.1
9/22/17,Good,6.1
9/23/17,Good,6.7
9/24/17,Moderate,11.5
9/25/17,Moderate,13.3
9/26/17,Good,6.4
9/27/17,Good,6.4
9/28/17,Moderate,5.3
9/29/17,Good,4.8
9/30/17,Good,4.9
10/1/17,Good,6.6
10/2/17,Good,6.4
10/3/17,Moderate,7.5
10/4/17,Good,8.6
10/5/17,Moderate,9.9
10/6/17,Moderate,10.7
10/7/17,Moderate,8.9
10/8/17,Good,5.3
10/9/17,Good,6.5
10/10/17,Good,5.2
10/11/17,Good,10
10/12/17,Good,4.9
10/13/17,Moderate,5.6
10/14/17,Good,6.7
10/15/17,Good,7.1
10/16/17,Good,3.1
10/17/17,Good,4.6
10/18/17,Good,8.9
10/19/17,Moderate,10.1
10/20/17,Moderate,6.4
10/21/17,Moderate,8.7
10/22/17,Moderate,9.8
10/23/17,Good,4.6
10/24/17,Good,7.7
10/25/17,Good,6.3
