Date,AQI Category,PM2.5
4/1/17,Moderate,10.4
4/2/17,Moderate,14.5
4/3/17,Moderate,13.7
4/4/17,Moderate,9.3
4/5/17,Good,7.7
4/6/17,Good,7.7
4/7/17,Good,8.3
4/8/17,Good,3
4/9/17,Good,5
4/10/17,Good,6.2
4/11/17,Good,6
4/12/17,Good,-0.7
4/13/17,Good,4.2
4/14/17,Good,5
4/15/17,Good,7.1
4/16/17,Good,5.9
4/17/17,Good,2.7
4/18/17,Good,3.4
4/19/17,Good,5.8
4/20/17,Good,6.1
4/21/17,Good,7.9
4/22/17,Good,4.1
4/23/17,Good,3.8
4/24/17,Good,3.9
4/25/17,Good,4.2
4/26/17,Good,1.9
4/27/17,Good,8.6
4/28/17,Good,9.4
4/29/17,Moderate,8.1
4/30/17,Moderate,11.2
5/1/17,Moderate,11.2
5/2/17,Moderate,9.7
5/3/17,Moderate,9.8
5/4/17,Good,3.2
5/5/17,Good,6.5
5/6/17,Moderate,11.6
5/7/17,Moderate,16
5/8/17,Moderate,17.5
5/9/17,Moderate,16.6
5/10/17,Moderate,8
5/11/17,Good,4.2
5/12/17,Good,3.7
5/13/17,Good,4.6
5/14/17,Good,8.7
5/15/17,Moderate,9.8
5/16/17,Good,4
5/17/17,Good,6.8
5/18/17,Moderate,11.6
5/19/17,Moderate,14.1
5/20/17,Good,7.2
5/21/17,Moderate,9.9
5/22/17,Moderate,5.7
5/23/17,Good,2.9
5/24/17,Good,4.3
5/25/17,Good,5.8
5/26/17,Good,5.2
5/27/17,Good,4
5/28/17,Good,5.1
5/29/17,Good,5.2
5/30/17,Good,6.2
5/31/17,Good,2.7
6/1/17,Good,3.4
6/2/17,Good,7.2
6/3/17,Moderate,8.1
6/4/17,Moderate,10.9
6/5/17,Moderate,14.2
6/6/17,Moderate,11.5
6/7/17,Good,7.1
6/8/17,Good,4.5
6/9/17,Good,3.6
6/10/17,Good,5.5
6/11/17,Good,7.8
6/12/17,Moderate,12
6/13/17,Moderate,12
6/14/17,Moderate,11.7
6/15/17,Moderate,6.3
6/16/17,Moderate,7.2
6/17/17,Moderate,11.8
6/18/17,Moderate,15.6
6/19/17,Moderate,11.7
6/20/17,Moderate,11.5
6/21/17,Moderate,11.2
6/22/17,Moderate,11.5
6/23/17,Good,1.3
6/24/17,Good,0.4
6/25/17,Good,-0.1
6/26/17,Good,0.1
6/27/17,Good,2.5
6/28/17,Moderate,8
6/29/17,Moderate,11.6
6/30/17,Moderate,9.9
7/1/17,Moderate,9.6
7/2/17,Good,3.8
7/3/17,Good,2.6
7/4/17,Moderate,3.7
7/5/17,Good,1.6
7/6/17,Good,5.3
7/7/17,Moderate,8
7/8/17,Moderate,13
7/9/17,Good,6.7
7/10/17,Moderate,8.8
7/11/17,Moderate,12.7
7/12/17,Moderate,11
7/13/17,Good,6.5
7/14/17,Good,7.3
7/15/17,Moderate,11.6
7/16/17,Moderate,14.5
7/17/17,Moderate,14.7
7/18/17,Moderate,9.6
7/19/17,Moderate,9.2
7/20/17,Good,8.1
7/21/17,Good,8.6
7/22/17,Moderate,11.6
7/23/17,Good,3.1
7/24/17,Good,3.6
7/25/17,Good,4.8
7/26/17,Good,2.7
7/27/17,Good,3
7/28/17,Moderate,8.7
7/29/17,Moderate,8.5
7/30/17,Good,8.5
7/31/17,Good,8.5
8/1/17,Moderate,2.1
8/2/17,Moderate,2.5
8/3/17,Good,6.9
8/4/17,Moderate,3.7
8/5/17,Good,0
8/6/17,Moderate,9.5
8/7/17,Moderate,9.1
8/8/17,Moderate,3.7
8/9/17,Moderate,5.9
8/10/17,Moderate,8.3
8/11/17,Moderate,7.9
